id	nm_kar	ttl_kar	almt_kar	jkel	agama	pendidikan	telp	email
27	Lim Soon Huat	Surabaya, 11/05/1993	Jl. Manyar Tirtoyoso Selatan, Surabaya	L	Islam	S1 Sistem Informasi	0859557646670	LimSoonSH@gmail.com
28	Antony Gunawan	Surabaya, 04/26/1992	Jl. Raya Manyar, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0899946078873	AntonyG@gmail.com
29	Sutiadi Widjaja	Surabaya, 09/02/1985	Jl. Karangan Jaya, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0814968552764	Sutiadi20@gmail.co.id
30	JOYNER OVERSEAS INC.	Surabaya, 11/14/1991	Jl. Kedung Doro, Surabaya, Jawa Timur	P	Kristen	S1 Sistem Informasi	0852536418071	JOYNEROVERSEASOI@gmail.co.id
31	Rita Indriawati	Surabaya, 09/02/1989	Pakal Residence, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0823422229505	RitaI@gmail.com
32	Bank Bira	Surabaya, 09/19/1992	Jl. Raya Wiguna Timur, Surabaya	L	Islam	S1 Sistem Informasi	0851172250795	BankB@gmail.com
33	PITER KOROMPIS	Surabaya, 03/04/1984	Graha Famili, Surabaya, Jawa Timur	P	Kristen	S1 Sistem Informasi	0857869626930	PITERK@gmail.co.id
34	Daniel Kurniawan Lukman	Surabaya, 03/24/1992	Jl. Raya Manyar, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0852907062676	DanielKurniawan64@gmail.com
35	Kam Lie Giok	Surabaya, 03/14/1994	San Antonio, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0896133749292	KamLie57@gmail.co.id
36	Raju Karamchandani	Surabaya, 07/17/1994	Putra Bangsa, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0823605237092	Raju60@gmail.com
37	Linda Marlina Isatyawan	Surabaya, 07/20/1997	Pakuwon City, Surabaya, Jawa Timur	L	Islam	S1 Sistem Komputer	0816669459100	LindaMarlinaMI@gmail.com
38	Tung Bibiana	Surabaya, 09/23/1987	Jl. Manyar Kartika, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0856116840704	Tung91@gmail.co.id
39	Edward Stephanus Djauhari	Surabaya, 03/20/1993	Jl. Ploso Timur, Surabaya, Jawa Timur	P	Hindu	S1 Sistem Informasi	0898660405169	EdwardStephanus68@gmail.co.id
40	Anthony Siswanto	Surabaya, 04/06/1991	The Amerta Residence, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0818642036587	Anthony18@gmail.com
41	Henry Hartono Go	Surabaya, 11/25/1980	Griya Asri, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0857926133096	HenryHartonoHG@gmail.co.id
42	Crescento Hermawan	Surabaya, 01/28/1980	Jl. Untung Suropati, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0813464510276	CrescentoH@gmail.co.id
43	Razif Susanto	Surabaya, 03/27/1982	Putra Bangsa, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0898893974401	RazifS@gmail.com
44	Lay Sioe Ho	Surabaya, 12/27/1985	Graha Famili, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0857455967513	LaySioe56@gmail.com
45	Agus Lasmono Sudwikatmono	Surabaya, 08/28/1991	Pondok Benowo Indah, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0814869455570	AgusLasmono88@gmail.co.id
46	Imelda Dharma	Surabaya, 07/30/1991	Jl. Manyar Tirtoyoso Utara, Surabaya	P	Kristen	S1 Teknik Informatika	0878819027416	ImeldaD@gmail.co.id
47	Kusumo Purwanti Dewi	Surabaya, 05/05/1990	Palm Spring Regency, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0852857462389	KusumoPurwantiPD@gmail.co.id
48	Susy Angkawijaya	Surabaya, 07/17/1996	Jl. Tambak Wedi, Surabaya, Jawa Timur	P	Khatolik	S1 Teknik Informatika	0857121741629	SusyA@gmail.co.id
49	Johanes Kennedy Aritonang	Surabaya, 02/03/1986	Long Beach, Surabaya, Jawa Timur	L	Kristen	S1 Teknik Informatika	0819799591578	JohanesKennedy94@gmail.co.id
50	Katharina Wihardja	Surabaya, 07/20/1991	San Antonio, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0898542855012	Katharina78@gmail.co.id
51	Iwa Sewaka	Surabaya, 09/27/1991	Jl. Manyar Tirto, Surabaya, Jawa Timur	P	Khatolik	S1 Teknik Informatika	0858384358696	IwaS@gmail.com
52	Tyrone Kaskam Awan	Surabaya, 12/06/1982	Jl. Manyar Tirtomoyo, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0823248699767	TyroneKaskamKA@gmail.com
53	LYDIA ANGKAWIDJAJA	Surabaya, 09/19/1988	San Antonio, Surabaya, Jawa Timur	L	Kristen	S1 Sistem Informasi	0815522311568	LYDIAA@gmail.co.id
54	Djie Tjian An	Surabaya, 08/23/1991	Jl. Manyar Tirto, Surabaya, Jawa Timur	P	Khatolik	S1 Teknik Informatika	0818600120608	DjieTjian60@gmail.com
55	Budi Widyadi	Surabaya, 11/02/1996	Florence, Surabaya, Jawa Timur	P	Islam	S1 Teknik Informatika	0898739933348	BudiW@gmail.co.id
56	Meizar Suyardi	Surabaya, 03/11/1980	Gunungsari Indah, Surabaya, Jawa Timur	L	Khatolik	S1 Sistem Informasi	0817806744941	Meizar52@gmail.co.id
57	Handoko Anindya Tanuadji	Surabaya, 03/01/1991	San Antonio, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0858245851936	HandokoAnindya71@gmail.co.id
58	Richard Tjandra	Surabaya, 12/13/1981	San Diego, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0811512417773	RichardT@gmail.com
59	A. Budi Pranoto	Surabaya, 08/20/1991	Jl. Ploso Timur, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0823432901759	BudiBP@gmail.com
60	Reza Maulana	Surabaya, 11/23/1990	Jl. Ploso Timur, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0877254025636	RezaM@gmail.com
61	Hindarta Sanjaya	Surabaya, 09/09/1989	Crystal Golf, Surabaya, Jawa Timur	P	Islam	S1 Sistem Informasi	0859882343087	Hindarta21@gmail.com
62	Meranti Handajani Serad	Surabaya, 02/25/1993	Jemursari Regency, Surabaya, Jawa Timur	L	Islam	S1 Sistem Informasi	0858682230011	MerantiHandajaniHS@gmail.co.id
63	Edward Ang	Surabaya, 08/29/1981	Jl. Ploso Timur IV, Surabaya, Jawa Timur	L	Islam	S1 Teknik Informatika	0899406248300	Edward39@gmail.com
